frame,t_s,kind,tid,x_cm,y_cm
400,13.333,verde,12,20.0,238.0
400,13.333,balon,-1,14.0,212.5
401,13.367,verde,3,69.5,56.5
401,13.367,oscuro,11,-2.0,237.5
401,13.367,verde,12,20.0,240.5
401,13.367,balon,-1,15.0,213.0
402,13.4,verde,3,69.5,55.5
402,13.4,oscuro,11,-2.0,237.5
402,13.4,verde,12,20.0,243.0
402,13.4,balon,-1,15.5,213.5
403,13.433,verde,3,70.0,55.0
403,13.433,verde,12,20.0,243.0
403,13.433,oscuro,11,-1.5,237.5
404,13.467,verde,3,70.5,54.5
404,13.467,verde,12,19.5,243.0
404,13.467,oscuro,11,-1.0,237.5
405,13.5,verde,3,70.5,54.0
405,13.5,oscuro,11,-0.5,236.0
405,13.5,verde,12,18.5,245.5
406,13.533,verde,3,71.0,53.0
406,13.533,oscuro,11,-0.5,235.5
406,13.533,verde,12,20.0,246.5
407,13.567,verde,3,71.0,52.5
407,13.567,oscuro,11,0.0,236.0
408,13.6,verde,3,71.5,52.0
408,13.6,oscuro,11,0.0,236.5
409,13.633,verde,3,71.5,51.5
409,13.633,oscuro,11,0.0,237.5
409,13.633,verde,12,21.5,248.0
410,13.667,verde,3,71.5,51.5
410,13.667,oscuro,11,-1.5,239.5
410,13.667,verde,12,21.0,249.0
410,13.667,balon,-1,17.0,220.5
411,13.7,verde,3,71.5,52.0
411,13.7,oscuro,11,-1.5,240.0
411,13.7,verde,12,21.5,249.5
411,13.7,balon,-1,17.5,221.5
412,13.733,verde,3,71.0,52.5
412,13.733,oscuro,11,-1.0,240.5
412,13.733,verde,12,22.0,251.5
412,13.733,balon,-1,17.5,222.5
413,13.767,verde,3,71.0,52.5
413,13.767,oscuro,11,-1.0,240.5
413,13.767,balon,-1,18.0,224.0
414,13.8,verde,3,71.0,52.5
